lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
NZ,BE,39,12,0,0.3076923076923077,0.1856575344598306,226.0,308.9
ES,CA,103,26,0,0.2524271844660194,0.17847711876706254,163.0,264.1
NO,ES,35,10,0,0.2857142857142857,0.16326363398295565,92.0,228.2
GR,AU,93,22,2,0.23655913978494625,0.16172548448287755,112.5,212.3
NL,BE,88,21,2,0.23863636363636365,0.1617092401848666,32,66.2
CA,SG,19,6,0,0.3157894736842105,0.15364171004428598,65.0,105.5
IT,MY,15,5,0,0.3333333333333333,0.15176100694691236,790,858
BE,US,132,28,0,0.21212121212121213,0.15103384183382562,157.0,419.6
GR,NO,33,9,1,0.2727272727272727,0.15067272656322814,62,180.4
NL,NZ,33,9,0,0.2727272727272727,0.15067272656322814,53,45.7
ES,IT,173,35,0,0.2023121387283237,0.14921733969871423,154,250.5
NZ,GR,24,7,0,0.2916666666666667,0.14914460334164278,125,163.3
AU,US,214,41,0,0.19158878504672897,0.14448322582235393,261,559.5
NO,IT,48,11,1,0.22916666666666666,0.13307691028989044,102,123.4
CA,MY,27,7,0,0.25925925925925924,0.13170208422866778,772,772.4
BE,IT,91,18,2,0.1978021978021978,0.12894356976415927,261.5,326.1
AU,GB,13,4,0,0.3076923076923077,0.1268049716161809,374.0,394.5
ES,SG,13,4,0,0.3076923076923077,0.1268049716161809,163.5,180.5
DE,IT,51,11,1,0.21568627450980393,0.12493811244188556,82,181.1
GR,SG,29,7,0,0.2413793103448276,0.12218268185062132,43,66
IE,US,59,12,0,0.2033898305084746,0.12036154854418066,239.5,269.3
NZ,AU,59,12,1,0.2033898305084746,0.12036154854418066,101.5,182.8
GB,IT,5,2,0,0.4,0.11761823115925325,379.0,379
FR,ES,14,4,0,0.2857142857142857,0.11721187910109102,53.0,64.5
GR,CA,80,15,0,0.1875,0.11705207812728377,90,126.1
AU,IT,124,21,0,0.1693548387096774,0.11351887518815744,215,586.8
NZ,IE,21,5,0,0.23809523809523808,0.10627856389112264,118,184.4
NL,DE,34,7,0,0.20588235294117646,0.10349396022351322,103,80.4
NZ,CA,69,12,1,0.17391304347826086,0.10238268593034994,96.0,244.7
GB,CA,6,2,0,0.3333333333333333,0.09676933255921684,1569.5,1569.5
DE,PT,2,1,0,0.5,0.09452865480086611,23,23
PT,DE,2,1,0,0.5,0.09452865480086611,11,11
IE,SG,24,5,0,0.20833333333333334,0.09244689104788088,114,111.8
NL,GR,61,10,0,0.16393442622950818,0.0915591348574295,56.0,46.5
DE,US,55,9,0,0.16363636363636364,0.08855320558522452,334,787.8
NO,SG,7,2,0,0.2857142857142857,0.08221716570901552,46.0,46
IE,IT,28,5,0,0.17857142857142858,0.07878385829430107,107,152.4
BE,GB,8,2,0,0.25,0.07147768885802765,133.0,133
BE,SG,31,5,0,0.16129032258064516,0.07092519905439935,78,140.4
FR,IE,16,3,0,0.1875,0.06591478773586763,406,486
NL,AU,88,10,0,0.11363636363636363,0.0629073263742009,39.0,96.5
NZ,SG,17,3,0,0.17647058823529413,0.06191013712548989,13,15.3
GB,NO,3,1,0,0.3333333333333333,0.061490315276160515,1420,1420
NL,CA,46,6,0,0.13043478260869565,0.06117757137492025,30.0,50.2
NZ,ES,19,3,0,0.15789473684210525,0.05520371039927826,179,227.7
GR,IT,32,4,0,0.125,0.049700538444743,295.0,393.8
NO,US,46,5,0,0.10869565217391304,0.04733076082742686,53,202.6
NL,CH,4,1,0,0.25,0.045586062644636216,56,56
NZ,MY,4,1,0,0.25,0.045586062644636216,639,639
AU,MY,37,4,0,0.10810810810810811,0.04285120520506269,446.5,510.2
NL,NO,37,4,0,0.10810810810810811,0.04285120520506269,13.0,30.2
FR,MY,5,1,0,0.2,0.036223160969787456,229,229
FR,IT,16,2,0,0.125,0.034976749337057134,239.5,239.5
GR,US,62,5,0,0.08064516129032258,0.034937831855833754,131,231.6
NZ,US,46,4,0,0.08695652173913043,0.03433531187670749,253.0,253
BE,MY,17,2,1,0.11764705882352941,0.03287908001292091,420.5,420.5
NL,ES,50,4,0,0.08,0.031549003255790686,32.0,35.8
NL,FR,34,3,0,0.08823529411764706,0.030465390304310145,20,36.3
NL,IE,36,3,0,0.08333333333333333,0.028748089271291792,18,40
IT,SG,7,1,0,0.14285714285714285,0.02567895594897479,162,162
FR,SG,8,1,0,0.125,0.02241690886329618,44,44
ES,GB,9,1,0,0.1111111111111111,0.019890371327130518,323,323
DE,SG,10,1,0,0.1,0.01787574951572113,17,17
NL,SG,31,2,0,0.06451612903225806,0.017874407775063144,49.5,49.5
ES,MY,18,1,0,0.05555555555555555,0.009874935830924522,79,79
NZ,IT,27,1,0,0.037037037037037035,0.006567976533097584,64,64
FR,US,32,1,0,0.03125,0.005537717362550956,182,182
NL,US,37,1,0,0.02702702702702703,0.004786851054907742,22,22
DE,MY,11,0,0,0.0,2.057132194452876e-17,,
NL,IT,28,0,0,0.0,0.0,,
GR,MY,6,0,0,0.0,0.0,,
NL,GB,5,0,0,0.0,0.0,,
NZ,GB,5,0,0,0.0,0.0,,
ES,CH,4,0,0,0.0,0.0,,
IE,CH,4,0,0,0.0,0.0,,
IE,GB,4,0,0,0.0,0.0,,
GR,GB,3,0,0,0.0,0.0,,
IE,MY,3,0,0,0.0,0.0,,
PT,NL,3,0,0,0.0,0.0,,
DE,GB,2,0,0,0.0,0.0,,
NO,MY,2,0,0,0.0,0.0,,
BE,CH,1,0,0,0.0,0.0,,
FR,GB,1,0,0,0.0,0.0,,
IT,PT,1,0,0,0.0,0.0,,
MY,GB,1,0,0,0.0,0.0,,
NL,MY,1,0,0,0.0,0.0,,
NZ,CH,1,0,0,0.0,0.0,,
SK,CH,1,0,0,0.0,0.0,,
SK,ES,1,0,0,0.0,0.0,,
